,rental_id,building_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,submarket,borough
6,10524,60898078,1950,1.0,1,950,1,3.0,83,0,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
8,5465,73060494,3500,1.0,1,996,9,7.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
21,5259,2540088,1725,1.0,1,800,1,2.0,89,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
25,9736,5154242,1700,1.0,1,730,10,3.0,7,0,0,0,0,0,0,0,0,Briarwood,Northeast Queens,Queens
59,3545,70847172,3100,1.0,1,787,6,3.0,9,1,1,0,1,1,0,1,0,Long Island City,Northwest Queens,Queens
107,8385,8217653,2695,1.0,1,875,8,15.0,56,1,0,0,0,0,0,0,0,Forest Hills,Central Queens,Queens
121,9386,9968115,2200,1.0,1,886,8,4.0,58,1,0,0,0,0,0,0,0,Sunnyside,Northwest Queens,Queens
147,8402,58994300,1850,1.0,1,1000,2,1.0,11,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
197,10963,60837572,1900,1.0,1,900,3,7.0,61,1,0,0,0,0,0,0,0,Elmhurst,Central Queens,Queens
203,6743,66130763,2200,1.0,1,665,27,4.0,12,1,0,0,0,0,0,0,0,Kew Gardens Hills,Northeast Queens,Queens
214,8457,57263590,2000,1.0,1,482,8,4.0,86,0,0,0,0,0,0,0,0,Corona,Central Queens,Queens
217,5844,71772648,2350,1.0,1,600,5,6.0,12,0,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
222,6754,30171847,3450,1.0,1,888,2,6.0,8,0,0,1,1,1,1,0,1,Long Island City,Northwest Queens,Queens
261,9307,58867322,1450,1.0,1,700,8,3.0,92,0,0,0,0,0,0,0,0,Richmond Hill,South Queens,Queens
269,3516,7860298,1975,1.0,1,700,43,20.0,42,0,0,0,0,0,0,0,0,Kew Gardens,Northeast Queens,Queens
306,5133,95553706,2000,1.0,1,750,9,5.0,15,0,0,1,0,0,1,0,0,Kew Gardens,Northeast Queens,Queens
318,10885,73060494,3400,1.0,1,1000,9,7.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
320,3253,13753727,3000,1.0,1,630,6,20.0,0,1,0,0,0,0,0,0,0,Long Island City,Northwest Queens,Queens
322,6838,73060494,2535,1.0,1,570,9,5.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
346,9816,73060494,2945,1.0,1,940,9,1.0,3,1,0,0,0,0,0,0,0,Astoria,Northwest Queens,Queens
352,10312,89178144,1900,1.0,1,678,5,4.0,64,1,0,0,0,0,0,0,0,Rego Park,Central Queens,Queens
