,rental_id,building_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,submarket,borough
3,2919,76909719,4500,1.0,1,916,2,51.0,29,0,1,0,1,1,1,0,0,Midtown,All Midtown,Manhattan
4,2790,92953520,4795,1.0,1,975,3,8.0,31,0,0,0,1,1,1,0,1,Greenwich Village,All Downtown,Manhattan
15,1437,66221183,4650,1.0,1,915,5,5.0,106,0,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
16,404,17340497,2950,1.0,1,550,43,17.0,14,1,1,0,1,1,0,0,0,Upper East Side,All Upper East Side,Manhattan
19,6594,9417041,4875,1.0,1,900,1,14.0,52,1,0,1,1,1,1,0,1,East Village,All Downtown,Manhattan
20,2964,38443215,4850,1.0,1,789,2,40.0,11,0,0,0,0,0,0,0,0,Midtown West,All Midtown,Manhattan
22,5405,13046465,3700,1.0,1,947,5,5.0,85,1,0,1,0,1,0,1,0,Upper East Side,All Upper East Side,Manhattan
27,5832,62413143,2195,1.0,1,500,3,3.0,106,1,0,0,0,0,0,0,0,Lower East Side,All Downtown,Manhattan
28,7050,9925024,4200,1.0,1,640,3,15.0,52,1,0,0,0,0,0,0,0,Tribeca,All Downtown,Manhattan
30,3491,93814173,4950,1.0,1,870,2,9.0,11,0,1,1,0,0,1,0,0,Midtown,All Midtown,Manhattan
32,2443,38985498,2450,1.0,1,700,3,2.0,106,0,0,0,0,0,0,0,0,Central Harlem,All Upper Manhattan,Manhattan
36,6142,19335948,3375,1.0,1,652,3,12.0,15,1,0,0,0,0,0,0,0,Upper West Side,All Upper West Side,Manhattan
41,9535,22319464,4990,1.0,1,823,5,22.0,44,1,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan
43,5169,3123316,10000,1.0,2,1600,2,3.0,5,1,0,0,0,1,0,0,0,Tribeca,All Downtown,Manhattan
53,4687,44398556,4350,1.0,1,783,2,6.0,29,0,1,0,1,1,0,0,0,West Village,All Downtown,Manhattan
55,403,17340497,3625,1.0,1,650,43,19.0,14,1,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
60,2154,75840224,3295,1.0,1,465,5,2.0,29,0,1,0,1,1,0,0,0,West Village,All Downtown,Manhattan
66,4268,95378356,2750,1.0,1,600,9,12.0,57,0,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan
71,8976,60046461,3900,1.0,1,750,6,6.0,106,1,0,0,0,0,0,0,0,Gramercy Park,All Downtown,Manhattan
73,9019,55944355,5325,1.0,1,697,2,36.0,13,1,0,0,0,0,0,0,0,Flatiron,All Downtown,Manhattan
76,5877,75675056,3900,1.0,1,643,4,10.0,2,0,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan
90,3736,42249543,4700,1.0,1,500,2,3.0,116,0,0,0,0,0,0,0,0,Soho,All Downtown,Manhattan
95,5736,29090765,3483,1.0,1,735,9,4.0,87,0,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan
97,2376,78690860,4600,1.0,1,890,2,8.0,10,0,0,1,1,1,1,0,0,Midtown East,All Midtown,Manhattan
98,10520,3595327,1695,1.0,1,750,1,4.0,87,1,1,0,0,0,0,0,0,Central Harlem,All Upper Manhattan,Manhattan
103,6843,26998106,5080,1.0,1,850,2,26.0,42,1,0,1,0,0,1,1,0,Upper West Side,All Upper West Side,Manhattan
104,1554,33299325,4890,1.0,1,815,43,7.0,8,1,0,0,0,1,0,0,0,Upper West Side,All Upper West Side,Manhattan
105,6566,49239817,3800,1.0,1,750,13,21.0,9,1,0,0,1,1,0,0,1,Midtown West,All Midtown,Manhattan
113,3187,61445147,2300,1.0,1,500,6,3.0,96,0,0,0,0,0,0,0,0,Chinatown,All Downtown,Manhattan
125,3466,35632183,3775,1.0,1,600,0,2.0,56,1,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
127,11163,69339033,4350,1.0,1,880,7,14.0,16,0,0,0,1,0,0,0,0,Upper West Side,All Upper West Side,Manhattan
130,5852,99463751,3995,1.0,1,899,1,14.0,112,1,0,0,0,0,0,0,0,Financial District,All Downtown,Manhattan
134,960,18700626,2995,1.0,1,350,1,5.0,116,0,0,0,0,0,0,0,0,West Village,All Downtown,Manhattan
135,6080,7258377,4490,1.0,1,620,4,29.0,16,1,0,0,0,0,0,0,0,Chelsea,All Downtown,Manhattan
137,8996,49239817,3800,1.0,1,700,13,19.0,9,1,1,0,1,1,0,0,1,Midtown West,All Midtown,Manhattan
143,10706,77153138,3750,1.0,1,700,3,5.0,90,0,0,0,0,0,0,0,0,Greenwich Village,All Downtown,Manhattan
145,3842,3021385,5500,1.0,1,1165,5,22.0,37,1,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
146,7418,57327522,5475,1.0,1,1094,2,38.0,30,0,1,1,1,1,1,0,1,Midtown,All Midtown,Manhattan
150,10485,9925024,5150,1.0,1,695,3,18.0,52,1,0,0,0,0,0,0,0,Tribeca,All Downtown,Manhattan
151,2474,3021385,4950,1.0,1,1115,5,2.0,37,1,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
154,6356,9925024,5225,1.0,1,770,3,11.0,52,1,0,0,0,0,0,0,0,Tribeca,All Downtown,Manhattan
159,292,29204811,4500,1.0,1,755,7,43.0,6,0,0,0,0,0,0,0,0,Midtown South,All Midtown,Manhattan
161,5416,54586401,2200,1.0,1,675,4,4.0,88,0,0,0,0,0,0,0,0,Washington Heights,All Upper Manhattan,Manhattan
162,7667,96242659,4000,1.0,1,840,10,40.0,30,1,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
165,428,76409285,2750,1.0,1,730,5,3.0,9,0,0,0,0,0,0,0,0,East Harlem,All Upper Manhattan,Manhattan
170,6553,70760268,4270,1.0,1,630,2,12.0,13,0,0,0,0,0,0,0,0,Lower East Side,All Downtown,Manhattan
172,7800,55531243,2150,1.0,1,687,4,2.0,96,0,0,0,0,0,0,0,0,Hamilton Heights,All Upper Manhattan,Manhattan
173,1122,50130886,3500,1.0,1,651,6,34.0,37,1,0,0,1,0,0,0,0,Midtown East,All Midtown,Manhattan
174,7889,49344680,2150,1.0,1,650,7,2.0,115,0,1,0,1,1,0,1,1,Midtown West,All Midtown,Manhattan
179,8612,36199025,3815,1.0,1,665,8,23.0,16,1,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan
184,11007,66234392,1625,1.0,1,560,6,2.0,96,1,0,0,0,0,0,0,0,Washington Heights,All Upper Manhattan,Manhattan
185,3874,62297362,3500,1.0,1,722,12,32.0,32,0,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan
186,9498,15098019,3495,1.0,1,686,10,34.0,29,1,0,0,0,0,0,0,0,Midtown West,All Midtown,Manhattan
191,5095,32317162,3550,1.0,1,748,6,9.0,10,0,1,0,0,0,1,1,0,Upper West Side,All Upper West Side,Manhattan
192,3698,43596424,6000,1.0,1,1500,2,2.0,151,0,0,0,0,0,0,0,0,Tribeca,All Downtown,Manhattan
195,5128,52180312,5000,1.0,1,707,2,5.0,8,0,1,0,1,1,1,0,0,Chelsea,All Downtown,Manhattan
202,4290,30235679,3995,1.0,1,800,3,5.0,27,0,0,0,0,1,0,0,0,Upper West Side,All Upper West Side,Manhattan
204,11237,9925024,9950,1.0,2,2050,3,4.0,52,1,0,0,0,0,0,0,0,Tribeca,All Downtown,Manhattan
206,1510,69339033,3400,1.0,1,800,7,3.0,16,0,0,0,0,0,0,0,0,Upper West Side,All Upper West Side,Manhattan
207,1225,64366255,3300,1.0,1,725,4,5.0,91,0,1,1,1,1,1,0,0,Upper West Side,All Upper West Side,Manhattan
218,2450,42326275,6350,1.0,2,1352,1,2.0,126,1,0,0,0,0,0,0,0,Tribeca,All Downtown,Manhattan
220,583,30632243,5740,1.0,1,761,5,15.0,6,1,0,0,0,0,0,0,0,Upper West Side,All Upper West Side,Manhattan
227,4937,35809557,5000,1.0,1,764,2,20.0,38,1,0,1,1,0,1,0,0,Midtown West,All Midtown,Manhattan
231,3136,53659992,4050,1.0,1,805,11,20.0,15,1,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
232,750,85066873,5850,1.0,1,752,3,33.0,6,1,0,0,0,0,0,0,0,Chelsea,All Downtown,Manhattan
233,7782,28419117,2300,1.0,1,650,3,3.0,76,0,0,0,0,0,0,0,0,Upper West Side,All Upper West Side,Manhattan
237,4674,24990628,4095,1.0,1,713,4,9.0,19,1,0,0,0,0,1,0,0,Upper East Side,All Upper East Side,Manhattan
243,10368,7258377,3920,1.0,1,718,4,4.0,16,1,1,1,1,1,1,0,1,Chelsea,All Downtown,Manhattan
244,76,69339033,4795,1.0,1,707,7,10.0,16,0,1,0,1,1,0,0,1,Upper West Side,All Upper West Side,Manhattan
245,8862,35126216,3800,1.0,1,600,2,14.0,9,1,0,0,0,0,0,0,0,Financial District,All Downtown,Manhattan
247,17,38277712,5000,1.0,1,805,4,4.0,9,0,1,1,1,1,1,0,1,Flatiron,All Downtown,Manhattan
249,10804,99463751,3950,1.0,1,899,1,3.0,112,1,0,0,0,0,0,0,0,Financial District,All Downtown,Manhattan
251,5030,20667322,4000,1.0,1,740,2,17.0,14,1,0,0,0,0,0,0,0,Midtown South,All Midtown,Manhattan
252,3200,2849860,3905,1.0,1,809,7,26.0,39,1,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
253,461,53525256,4000,1.0,1,700,3,4.0,62,0,0,1,1,1,0,0,0,West Village,All Downtown,Manhattan
256,9903,27285599,3631,1.0,1,707,3,1.0,71,1,0,0,0,0,0,0,0,Stuyvesant Town/PCV,All Downtown,Manhattan
263,919,49239817,4250,1.0,1,800,13,46.0,9,1,0,0,0,0,0,0,0,Midtown West,All Midtown,Manhattan
265,4111,31656128,4995,1.0,1,972,7,10.0,6,0,0,1,0,0,0,0,0,Gramercy Park,All Downtown,Manhattan
267,210,89055400,4300,1.0,1,700,5,9.0,37,0,0,0,1,1,1,0,0,Upper West Side,All Upper West Side,Manhattan
273,2069,12742969,3950,1.0,1,750,2,2.0,106,0,0,1,1,1,0,0,0,Chelsea,All Downtown,Manhattan
274,10349,96878637,5995,1.0,2,1815,4,1.0,96,0,0,0,1,1,0,0,1,Financial District,All Downtown,Manhattan
276,9154,22319464,4785,1.0,1,823,5,17.0,44,1,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan
278,3610,67594835,3595,1.0,1,620,11,9.0,31,1,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
280,3560,9787710,5415,1.0,1,767,2,29.0,8,1,0,0,0,0,0,0,0,Midtown South,All Midtown,Manhattan
281,2524,66591315,5500,1.0,1,1145,4,2.0,11,0,0,0,1,1,0,0,1,Soho,All Downtown,Manhattan
283,7122,35812240,1700,1.0,1,400,8,3.0,5,0,0,0,0,0,0,0,0,East Harlem,All Upper Manhattan,Manhattan
287,4626,85066873,4990,1.0,1,643,3,32.0,6,1,0,0,0,0,0,0,0,Chelsea,All Downtown,Manhattan
294,3332,17183665,5495,1.0,1,860,2,19.0,30,1,0,0,0,0,0,0,0,Flatiron,All Downtown,Manhattan
297,3828,50843608,4050,1.0,1,834,2,6.0,58,0,1,1,0,1,1,0,0,Midtown East,All Midtown,Manhattan
298,10031,71977815,3900,1.0,1,720,4,8.0,7,0,0,0,0,0,0,0,0,Tribeca,All Downtown,Manhattan
299,8229,3032139,3195,1.0,1,574,2,11.0,99,1,0,0,1,1,0,0,1,Upper West Side,All Upper West Side,Manhattan
300,7471,76149482,3000,1.0,1,496,2,4.0,28,0,0,0,0,0,0,0,0,Midtown West,All Midtown,Manhattan
304,9496,15098019,3700,1.0,1,642,10,32.0,29,1,0,0,0,0,0,0,0,Midtown West,All Midtown,Manhattan
307,7680,59779744,2995,1.0,1,610,2,19.0,29,0,0,0,0,1,1,0,0,Battery Park City,All Downtown,Manhattan
314,2147,95557456,3190,1.0,1,650,6,1.0,106,0,0,0,0,0,0,0,0,East Village,All Downtown,Manhattan
315,2896,45761959,2300,1.0,1,400,12,2.0,106,0,0,0,0,0,0,0,0,East Village,All Downtown,Manhattan
319,1465,91389611,3100,1.0,1,475,3,2.0,116,0,0,0,0,0,0,0,0,West Village,All Downtown,Manhattan
324,8705,37192392,3950,1.0,1,800,2,10.0,8,0,1,1,0,0,1,0,0,Financial District,All Downtown,Manhattan
325,3291,10701196,4400,1.0,1,500,3,2.0,106,0,0,0,0,0,0,0,0,Soho,All Downtown,Manhattan
327,5009,45862967,3100,1.0,1,757,4,18.0,19,0,1,0,1,0,0,1,0,Upper West Side,All Upper West Side,Manhattan
341,4594,65922524,3700,1.0,1,763,3,6.0,31,0,0,0,1,1,1,0,1,Battery Park City,All Downtown,Manhattan
342,6371,89313068,6000,1.0,1,923,1,34.0,51,0,0,1,1,0,0,0,0,Greenwich Village,All Downtown,Manhattan
344,146,32844845,2600,1.0,1,525,2,5.0,115,0,0,0,1,0,0,0,0,Midtown,All Midtown,Manhattan
350,1827,24236066,4950,1.0,1,927,3,32.0,29,1,1,1,1,1,1,0,0,Financial District,All Downtown,Manhattan
351,10940,70647804,3932,1.0,1,678,4,9.0,47,1,0,0,0,0,0,0,0,Financial District,All Downtown,Manhattan
353,1511,49664770,3000,1.0,1,730,2,7.0,53,0,0,0,1,0,0,0,0,Midtown,All Midtown,Manhattan
356,6093,50873503,3450,1.0,1,750,2,7.0,96,0,0,0,0,0,0,0,0,Midtown South,All Midtown,Manhattan
359,5068,91440509,4375,1.0,1,668,2,23.0,16,1,0,1,0,0,0,0,0,Flatiron,All Downtown,Manhattan
362,2468,80017880,2900,1.0,1,600,12,16.0,27,0,0,0,1,1,0,0,1,Midtown East,All Midtown,Manhattan
363,1102,31656128,4200,1.0,1,690,7,6.0,6,0,0,1,1,0,0,0,0,Gramercy Park,All Downtown,Manhattan
368,3289,70647804,3665,1.0,1,674,4,8.0,47,1,0,0,0,0,0,0,0,Financial District,All Downtown,Manhattan
374,10552,98314227,2995,1.0,1,800,4,1.0,66,0,0,0,0,0,0,0,0,Midtown East,All Midtown,Manhattan
375,2361,74148646,3935,1.0,1,752,6,4.0,14,1,0,0,0,0,0,0,0,Upper West Side,All Upper West Side,Manhattan
381,1128,18358129,3400,1.0,1,636,4,5.0,31,1,1,0,0,0,0,0,0,Upper West Side,All Upper West Side,Manhattan
383,2593,61952566,3600,1.0,1,643,3,13.0,8,0,0,0,0,0,0,0,0,Midtown South,All Midtown,Manhattan
386,1019,4542822,4100,1.0,1,600,6,24.0,6,1,0,0,0,0,0,0,0,Upper West Side,All Upper West Side,Manhattan
392,4966,46802136,5300,1.0,1,855,1,11.0,8,0,1,0,0,1,0,0,0,Flatiron,All Downtown,Manhattan
396,866,59486465,3600,1.0,1,648,4,4.0,2,0,0,0,0,0,0,0,0,Gramercy Park,All Downtown,Manhattan
402,4125,43286650,5150,1.0,1,719,4,6.0,9,0,0,1,1,1,1,0,1,Upper West Side,All Upper West Side,Manhattan
405,3343,16022521,5300,1.0,2,1141,6,5.0,113,0,0,0,1,0,0,0,0,Gramercy Park,All Downtown,Manhattan
408,8905,39267290,3950,1.0,1,679,1,6.0,29,0,0,0,0,0,0,0,0,Tribeca,All Downtown,Manhattan
409,4832,58853795,2685,1.0,1,550,3,10.0,53,0,0,0,0,1,0,0,0,Midtown East,All Midtown,Manhattan
410,7751,77788983,2695,1.0,1,700,2,5.0,106,0,1,0,1,1,0,0,1,Upper West Side,All Upper West Side,Manhattan
411,2685,53487787,3500,1.0,1,625,4,19.0,42,0,0,1,1,1,0,0,1,Upper East Side,All Upper East Side,Manhattan
414,9474,40915304,9950,1.0,1,1238,2,2.0,3,0,0,0,0,0,0,0,0,West Village,All Downtown,Manhattan
415,9608,91220032,3675,1.0,1,900,2,4.0,55,0,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
420,11182,76008588,4200,1.0,1,800,2,5.0,106,0,0,1,1,1,1,0,1,Flatiron,All Downtown,Manhattan
421,684,26715520,2999,1.0,1,600,2,16.0,65,1,0,0,0,0,1,0,0,Midtown,All Midtown,Manhattan
422,3089,38398754,5100,1.0,1,720,3,11.0,115,0,0,0,1,1,0,0,1,Upper East Side,All Upper East Side,Manhattan
429,5689,49630190,2595,1.0,1,650,4,4.0,106,0,0,0,0,0,0,0,0,Upper West Side,All Upper West Side,Manhattan
431,7820,4611940,3850,1.0,1,800,7,16.0,34,0,1,0,1,1,1,0,1,Midtown East,All Midtown,Manhattan
432,9900,65922524,4000,1.0,1,687,3,16.0,31,0,0,1,0,1,0,0,0,Battery Park City,All Downtown,Manhattan
433,11344,67242797,3290,1.0,1,750,2,10.0,89,0,0,0,0,0,0,0,0,Midtown,All Midtown,Manhattan
434,7100,54586401,2100,1.0,1,650,4,5.0,88,0,0,0,0,0,0,0,0,Washington Heights,All Upper Manhattan,Manhattan
443,5685,86020250,4500,1.0,2,890,9,3.0,106,1,0,0,0,0,0,0,0,Gramercy Park,All Downtown,Manhattan
444,4128,40263491,6000,1.0,1,801,1,1.0,3,0,0,0,0,0,0,0,0,East Village,All Downtown,Manhattan
447,7215,52180312,4000,1.0,1,555,2,4.0,8,0,0,0,0,0,0,0,0,Chelsea,All Downtown,Manhattan
449,4016,91249456,2150,1.0,1,669,6,2.0,4,0,0,0,0,0,0,0,0,Hamilton Heights,All Upper Manhattan,Manhattan
454,9843,67936269,1650,1.0,1,585,1,4.0,96,1,0,0,0,0,0,0,0,Washington Heights,All Upper Manhattan,Manhattan
456,1224,89313068,5350,1.0,1,900,1,15.0,51,0,0,0,0,1,0,0,0,Greenwich Village,All Downtown,Manhattan
463,251,97062977,1800,1.0,1,670,4,1.0,116,1,1,1,1,1,1,0,1,East Harlem,All Upper Manhattan,Manhattan
466,2298,42249543,6000,1.0,1,1000,2,2.0,116,0,0,0,0,1,0,0,0,Soho,All Downtown,Manhattan
468,8108,3021385,5050,1.0,1,985,5,39.0,37,1,1,0,1,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
471,5596,25030314,2200,1.0,1,550,2,2.0,108,0,0,0,0,0,1,0,0,Hamilton Heights,All Upper Manhattan,Manhattan
474,9482,50130886,3800,1.0,1,710,6,31.0,37,0,0,0,1,1,0,0,0,Midtown East,All Midtown,Manhattan
479,5936,37204663,4185,1.0,1,884,10,42.0,27,0,0,0,1,1,0,0,0,Midtown East,All Midtown,Manhattan
486,334,26976302,5900,1.0,1,980,3,24.0,33,1,0,0,0,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
491,385,65922524,3800,1.0,1,682,3,12.0,31,0,0,0,0,0,0,1,0,Battery Park City,All Downtown,Manhattan
492,2572,28946905,4080,1.0,1,560,1,2.0,29,1,0,0,0,0,0,0,0,Chelsea,All Downtown,Manhattan
495,6689,88956549,3500,1.0,1,700,1,5.0,91,0,0,0,0,0,1,0,0,Upper West Side,All Upper West Side,Manhattan
500,7057,57870659,4000,1.0,1,775,2,4.0,90,1,0,0,0,0,0,0,0,Financial District,All Downtown,Manhattan
502,4059,43216137,5500,1.0,2,934,2,18.0,29,0,0,0,0,0,1,1,0,Upper East Side,All Upper East Side,Manhattan
507,1823,45862967,4950,1.0,1,812,4,5.0,19,1,1,1,1,1,0,0,1,Upper West Side,All Upper West Side,Manhattan
509,3468,65350613,3495,1.0,1,771,2,7.0,90,1,0,0,0,0,0,0,0,Financial District,All Downtown,Manhattan
513,6696,82702893,4500,1.0,1,874,2,3.0,25,0,0,1,1,0,0,0,0,Upper East Side,All Upper East Side,Manhattan
515,4227,48187816,7995,1.0,1,1075,4,33.0,33,0,0,0,1,0,1,0,0,Midtown,All Midtown,Manhattan
519,6794,87356164,3791,1.0,1,585,12,16.0,4,1,0,0,0,0,0,0,0,Midtown West,All Midtown,Manhattan
