price,type,sqfeet,beds,baths,lat,long
615,apartment,364,0,1.0,35.1653,-101.884
1346,apartment,816,1,1.0,32.9865,-96.686
900,apartment,500,1,1.0,30.2355,-97.7292
650,apartment,700,1,1.0,26.1923,-98.2657
1330,apartment,1040,2,2.0,30.638,-96.294
915,apartment,620,1,1.0,29.8754,-97.9404
1600,house,1578,3,2.0,32.6412,-97.1058
349,apartment,275,0,1.0,33.5865,-101.861
695,house,650,1,1.0,31.5525,-97.1604
889,apartment,650,1,1.5,29.8754,-97.9404
850,apartment,774,1,1.0,27.699,-97.3628
945,apartment,1195,2,2.0,33.8712,-98.5127
1570,apartment,1106,2,0.0,32.9322,-96.8353
2183,apartment,1260,2,2.0,32.0363,-102.08
1299,apartment,1568,4,2.0,32.419000000000004,-95.2106
850,apartment,680,1,1.0,31.0917,-97.3648
915,apartment,965,2,2.0,29.5613,-97.9628
1950,house,2306,4,2.0,29.5863,-98.4769
976,apartment,673,1,1.0,30.5145,-97.66799999999999
715,apartment,933,2,2.0,29.8986,-97.9606
1130,apartment,900,2,2.0,30.4048,-97.7533
735,apartment,750,1,1.0,30.1175,-94.1903
1219,apartment,1052,2,2.0,27.5667,-99.4994
1410,apartment,1074,2,2.0,33.1499,-96.8241
995,apartment,804,1,1.0,32.6618,-96.914
615,apartment,364,0,1.0,35.1653,-101.884
955,apartment,975,2,2.0,33.5225,-101.9
779,apartment,766,2,1.0,30.619,-96.3185
769,apartment,900,2,1.0,30.7061,-95.5495
499,apartment,655,1,1.0,29.8754,-97.9404
913,apartment,812,1,1.0,32.299,-95.2322
950,house,1370,4,2.0,26.2937,-98.3008
810,apartment,660,1,1.0,29.5144,-98.5971
799,apartment,800,2,2.0,31.535,-97.1899
615,apartment,364,0,1.0,35.1653,-101.884
800,apartment,725,2,1.5,33.9519,-98.5145
819,apartment,702,1,1.0,29.8754,-97.9404
1200,house,1179,3,2.0,34.9772,-101.925
715,apartment,848,2,1.0,31.116,-97.6847
685,apartment,619,1,1.0,26.1951,-97.689
875,duplex,1200,3,2.0,26.2986,-98.1841
1095,apartment,1177,3,2.0,29.5395,-98.4194
650,townhouse,1178,2,1.5,31.1252,-97.6974
699,apartment,769,1,1.0,33.5434,-101.934
475,apartment,525,1,1.0,31.1223,-97.7185
1850,apartment,847,1,1.0,30.3225,-97.7107
509,apartment,700,2,2.0,34.9829,-101.902
875,apartment,663,1,1.0,27.7396,-97.3677
509,apartment,700,2,2.0,34.9829,-101.902
699,apartment,612,1,1.0,33.5434,-101.934
1815,apartment,1293,3,2.0,29.8634,-98.0037
1000,apartment,1073,2,2.0,33.5924,-101.93700000000001
995,apartment,792,2,1.0,33.2479,-97.1376
975,apartment,820,2,1.0,31.0376,-97.6809
814,flat,709,2,1.0,30.7028,-95.542
1050,apartment,642,1,1.0,30.4224,-97.7967
799,apartment,300,1,1.0,35.1898,-101.934
1099,apartment,967,2,2.0,29.5484,-98.5186
1487,apartment,987,2,2.0,31.9077,-102.28299999999999
550,house,935,2,2.0,31.5525,-97.1396
695,apartment,650,1,1.0,29.5419,-98.4145
620,house,665,2,1.0,31.7652,-102.354
945,apartment,950,2,2.0,27.8458,-97.596
1040,apartment,718,1,1.0,30.4254,-97.7195
950,apartment,1030,2,2.0,32.7484,-97.2163
1040,apartment,1195,2,2.0,33.8712,-98.5127
1451,apartment,1250,3,2.0,30.3649,-97.6827
749,apartment,759,2,1.0,32.4239,-99.7961
853,apartment,738,1,1.0,29.9766,-95.6358
559,apartment,1025,2,2.0,30.6122,-96.3175
650,apartment,700,1,1.0,26.1923,-98.2657
1000,house,1034,3,2.0,25.9611,-97.5316
1810,condo,1390,3,2.0,32.0065,-102.125
845,apartment,1000,2,2.0,33.8894,-98.5119
615,apartment,665,1,1.0,35.1876,-101.904
1132,apartment,665,1,1.0,29.2971,-94.8002
1000,house,1999,3,2.0,30.5118,-96.3171
525,apartment,490,3,1.0,29.3641,-98.4924
1473,apartment,669,1,0.0,31.8816,-102.01299999999999
745,apartment,933,2,2.0,29.8986,-97.9606
950,apartment,720,1,1.0,32.0395,-102.10700000000001
1575,apartment,1431,3,3.0,30.6582,-96.3351
995,apartment,659,1,1.0,30.2166,-97.8508
1050,duplex,1320,2,2.0,32.3209,-95.2545
1010,apartment,881,2,2.0,32.8606,-96.6196
885,apartment,1023,2,2.0,33.5924,-101.93700000000001
995,apartment,817,2,1.0,27.6758,-97.3475
1050,apartment,1005,2,2.0,32.391999999999996,-99.7746
945,apartment,890,2,2.0,27.6758,-97.3475
1500,apartment,811,1,1.0,30.2875,-97.7266
615,apartment,364,0,1.0,35.1653,-101.884
925,apartment,925,2,2.0,27.677,-97.365
1150,apartment,1430,3,3.0,27.5569,-99.4907
925,apartment,724,1,1.0,30.14,-94.1604
1535,apartment,617,1,0.0,31.8816,-102.01299999999999
1146,apartment,966,2,2.0,32.2947,-95.2788
1040,apartment,400,0,1.0,30.2504,-97.7734
975,apartment,980,2,2.0,29.8754,-97.9404
655,apartment,751,1,1.0,31.5346,-97.1634
595,apartment,995,1,1.5,26.1734,-97.6783
895,apartment,688,1,1.0,27.7391,-97.3679
800,apartment,725,2,1.5,33.9519,-98.5145
800,apartment,725,2,1.5,33.9519,-98.5145
1035,apartment,852,2,1.0,29.8003,-95.4351
730,apartment,750,1,1.0,30.1175,-94.1903
990,apartment,820,1,1.5,29.8754,-97.9404
1225,apartment,1065,2,2.0,29.7089,-98.1133
2050,townhouse,1700,3,3.5,30.5835,-97.8575
995,apartment,817,2,1.0,27.6758,-97.3475
869,apartment,691,1,1.0,30.0931,-94.1899
775,townhouse,1150,2,1.5,30.651,-96.3387
1585,apartment,737,1,1.0,32.0295,-102.09100000000001
1090,apartment,1046,2,2.0,29.7055,-98.4191
615,apartment,522,1,1.0,31.8552,-106.435
409,apartment,1125,4,2.0,34.9829,-101.902
1313,apartment,680,1,1.0,31.9076,-102.28299999999999
1670,house,1400,3,2.0,30.1638,-97.7438
2355,apartment,1628,3,2.5,,
1640,apartment,1042,2,2.0,33.0277,-96.6777
659,apartment,600,1,1.0,30.619,-96.3185
1129,apartment,1047,2,1.5,29.7229,-98.0742
800,apartment,900,2,2.0,26.1923,-98.2657
700,apartment,750,2,1.0,29.3466,-98.5074
760,apartment,904,2,1.5,32.4563,-99.7638
700,apartment,960,2,1.0,31.9386,-106.40700000000001
235,apartment,300,1,1.0,35.1897,-101.934
1350,apartment,984,2,1.5,30.4488,-97.7917
1000,manufactured,1216,3,2.0,32.2768,-95.3031
675,apartment,650,1,1.0,33.9519,-98.5145
1150,apartment,955,2,2.0,30.6582,-96.3351
1039,apartment,904,2,1.5,30.2315,-97.7223
905,apartment,902,2,1.0,30.0948,-94.1648
1132,apartment,908,2,2.0,30.3649,-97.6827
