Country,Year,Life expectancy at birth (years),GDP
Chile,2000,77.3,77860932152
Chile,2001,77.3,70979923960
Chile,2002,77.8,69736811435
Chile,2003,77.9,75643459840
Chile,2004,78,99210392858
Chile,2005,78.4,1.22965E+11
Chile,2006,78.9,1.54788E+11
Chile,2007,78.9,1.73606E+11
Chile,2008,79.6,1.79638E+11
Chile,2009,79.3,1.72389E+11
Chile,2010,79.1,2.18538E+11
Chile,2011,79.8,2.52252E+11
Chile,2012,79.9,2.67122E+11
Chile,2013,80.1,2.78384E+11
Chile,2014,80.3,2.6099E+11
Chile,2015,80.5,2.42518E+11
China,2000,71.7,1.21135E+12
China,2001,72.2,1.3394E+12
China,2002,72.7,1.47055E+12
China,2003,73.1,1.66029E+12
China,2004,73.5,1.95535E+12
China,2005,73.9,2.28597E+12
China,2006,74.2,2.75213E+12
China,2007,74.4,3.55218E+12
China,2008,74.5,4.59821E+12
China,2009,74.9,5.10995E+12
China,2010,75,6.10062E+12
China,2011,75.2,7.57255E+12
China,2012,75.4,8.56055E+12
China,2013,75.6,9.60722E+12
China,2014,75.8,1.04824E+13
China,2015,76.1,1.10647E+13
Germany,2000,78,1.94995E+12
Germany,2001,78.3,1.95065E+12
Germany,2002,78.4,2.07914E+12
Germany,2003,78.5,2.50573E+12
Germany,2004,79.1,2.81925E+12
Germany,2005,79.2,2.86141E+12
Germany,2006,79.6,3.00245E+12
Germany,2007,79.8,3.43995E+12
Germany,2008,79.9,3.75237E+12
Germany,2009,80,3.41801E+12
Germany,2010,80.1,3.41709E+12
Germany,2011,80.5,3.7577E+12
Germany,2012,80.6,3.54398E+12
Germany,2013,80.6,3.75251E+12
Germany,2014,80.9,3.89061E+12
Germany,2015,81,3.37561E+12
Mexico,2000,74.8,6.83648E+11
Mexico,2001,75,7.24704E+11
Mexico,2002,75,7.4156E+11
Mexico,2003,75,7.13284E+11
Mexico,2004,75.4,7.70268E+11
Mexico,2005,75.3,8.66346E+11
Mexico,2006,75.8,9.65281E+11
Mexico,2007,76,1.04347E+12
Mexico,2008,75.6,1.10128E+12
Mexico,2009,75.7,8.94949E+11
Mexico,2010,75.6,1.05113E+12
Mexico,2011,76.1,1.17119E+12
Mexico,2012,76.3,1.1866E+12
Mexico,2013,76.6,1.26198E+12
Mexico,2014,76.6,1.29846E+12
Mexico,2015,76.7,1.15226E+12
United States of America,2000,76.8,1.03E+13
United States of America,2001,76.9,1.06E+13
United States of America,2002,77,1.1E+13
United States of America,2003,77.2,1.15E+13
United States of America,2004,77.5,1.23E+13
United States of America,2005,77.5,1.31E+13
United States of America,2006,77.8,1.39E+13
United States of America,2007,78.1,1.45E+13
United States of America,2008,78.2,1.47E+13
United States of America,2009,78.5,1.44E+13
United States of America,2010,78.7,1.5E+13
United States of America,2011,78.7,1.55E+13
United States of America,2012,78.8,1.62E+13
United States of America,2013,78.9,1.67E+13
United States of America,2014,79.1,1.74E+13
United States of America,2015,79.3,1.81E+13
Zimbabwe,2000,46,6689957600
Zimbabwe,2001,45.3,6777384700
Zimbabwe,2002,44.8,6342116400
Zimbabwe,2003,44.5,5727591800
Zimbabwe,2004,44.3,5805598400
Zimbabwe,2005,44.6,5755215200
Zimbabwe,2006,45.4,5443896500
Zimbabwe,2007,46.6,5291950100
Zimbabwe,2008,48.2,4415702800
Zimbabwe,2009,50,8621573608
Zimbabwe,2010,52.4,10141859710
Zimbabwe,2011,54.9,12098450749
Zimbabwe,2012,56.6,14242490252
Zimbabwe,2013,58,15451768659
Zimbabwe,2014,59.2,15891049236
Zimbabwe,2015,60.7,16304667807
