tree_id,trunk_diam,status,health,spc_common,neighborhood
199250,8,Alive,Good,crab apple,Lincoln Square
136891,17,Alive,Good,honeylocust,East Harlem North
200218,3,Alive,Good,ginkgo,Chinatown
53901,23,Alive,Good,green ash,Bayside-Bayside Hills
589218,21,Alive,Good,pin oak,Glen Oaks-Floral Park-New Hyde Park
294537,11,Alive,Good,Schumard's oak,Lower East Side
693053,4,Alive,Good,eastern redbud,South Jamaica
555979,5,Alive,Good,honeylocust,Stuyvesant Town-Cooper Village
481603,17,Alive,Good,London planetree,Schuylerville-Throgs Neck-Edgewater Park
563883,11,Alive,Good,Callery pear,Ocean Parkway South
681305,16,Alive,Good,pin oak,Kew Gardens Hills
175087,3,Alive,Good,London planetree,Chinatown
577693,2,Alive,Good,dawn redwood,Oakwood-Oakwood Beach
341683,2,Alive,Good,purple-leaf plum,Pelham Bay-Country Club-City Island
54551,6,Alive,Good,Callery pear,Auburndale
577072,4,Alive,Good,pin oak,Maspeth
600210,11,Alive,Good,Callery pear,Forest Hills
414679,6,Alive,Good,ginkgo,Hunts Point
30910,22,Alive,Good,London planetree,Forest Hills
376097,13,Alive,Good,honeylocust,Jackson Heights
300144,4,Alive,Good,American elm,New Brighton-Silver Lake
687802,10,Alive,Good,Callery pear,Fresh Meadows-Utopia
261044,26,Alive,Poor,Japanese tree lilac,Flushing
550009,18,Alive,Poor,littleleaf linden,61
166923,10,Alive,Good,honeylocust,Upper East Side-Carnegie Hill
694003,11,Alive,Good,honeylocust,Whitestone
303258,2,Alive,Fair,silver linden,Forest Hills
205772,17,Alive,Fair,crab apple,BK45
322852,8,Alive,Good,Callery pear,Charleston-Richmond Valley-Tottenville
440476,16,Dead,,,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
481426,11,Alive,Fair,littleleaf linden,West Concourse
330050,15,Alive,Good,sweetgum,Prospect Lefferts Gardens-Wingate
259958,2,Alive,Good,Japanese zelkova,Astoria
351828,3,Alive,Good,London planetree,Georgetown-Marine Park-Bergen Beach-Mill Basin
181663,19,Alive,Good,green ash,QN20
31101,29,Alive,Good,London planetree,Grasmere-Arrochar-Ft. Wadsworth
15359,5,Alive,Good,Callery pear,Pelham Bay-Country Club-City Island
541555,21,Alive,Good,London planetree,Baisley Park
396793,9,Alive,Good,littleleaf linden,Melrose South-Mott Haven North
564003,8,Alive,Good,honeylocust,Richmond Hill
226998,40,Alive,Good,London planetree,Woodlawn-Wakefield
30733,13,Alive,Good,red maple,Grasmere-Arrochar-Ft. Wadsworth
193079,22,Alive,Good,pin oak,17
