tree_id,trunk_diam,status,health,spc_common,neighborhood,tree_diam_category
199250,8,Alive,Good,crab apple,Lincoln Square,Medium-Large (10-18in)
136891,17,Alive,Good,honeylocust,East Harlem North,Large (18-24in)
200218,3,Alive,Good,ginkgo,Chinatown,Medium (3-10in)
53901,23,Alive,Good,green ash,Bayside-Bayside Hills,Very large (>24in)
589218,21,Alive,Good,pin oak,Glen Oaks-Floral Park-New Hyde Park,Very large (>24in)
294537,11,Alive,Good,Schumard's oak,Lower East Side,Large (18-24in)
693053,4,Alive,Good,eastern redbud,South Jamaica,Medium-Large (10-18in)
555979,5,Alive,Good,honeylocust,Stuyvesant Town-Cooper Village,Medium-Large (10-18in)
481603,17,Alive,Good,London planetree,Schuylerville-Throgs Neck-Edgewater Park,Large (18-24in)
563883,11,Alive,Good,Callery pear,Ocean Parkway South,Large (18-24in)
681305,16,Alive,Good,pin oak,Kew Gardens Hills,Large (18-24in)
175087,3,Alive,Good,London planetree,Chinatown,Medium (3-10in)
577693,2,Alive,Good,dawn redwood,Oakwood-Oakwood Beach,Medium (3-10in)
341683,2,Alive,Good,purple-leaf plum,Pelham Bay-Country Club-City Island,Medium (3-10in)
54551,6,Alive,Good,Callery pear,Auburndale,Medium-Large (10-18in)
577072,4,Alive,Good,pin oak,Maspeth,Medium-Large (10-18in)
600210,11,Alive,Good,Callery pear,Forest Hills,Large (18-24in)
414679,6,Alive,Good,ginkgo,Hunts Point,Medium-Large (10-18in)
30910,22,Alive,Good,London planetree,Forest Hills,Very large (>24in)
376097,13,Alive,Good,honeylocust,Jackson Heights,Large (18-24in)
300144,4,Alive,Good,American elm,New Brighton-Silver Lake,Medium-Large (10-18in)
687802,10,Alive,Good,Callery pear,Fresh Meadows-Utopia,Medium-Large (10-18in)
261044,26,Alive,Poor,Japanese tree lilac,Flushing,
550009,18,Alive,Poor,littleleaf linden,61,Large (18-24in)
166923,10,Alive,Good,honeylocust,Upper East Side-Carnegie Hill,Medium-Large (10-18in)
694003,11,Alive,Good,honeylocust,Whitestone,Large (18-24in)
303258,2,Alive,Fair,silver linden,Forest Hills,Medium (3-10in)
205772,17,Alive,Fair,crab apple,BK45,Large (18-24in)
322852,8,Alive,Good,Callery pear,Charleston-Richmond Valley-Tottenville,Medium-Large (10-18in)
440476,16,Dead,,,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Large (18-24in)
481426,11,Alive,Fair,littleleaf linden,West Concourse,Large (18-24in)
330050,15,Alive,Good,sweetgum,Prospect Lefferts Gardens-Wingate,Large (18-24in)
259958,2,Alive,Good,Japanese zelkova,Astoria,Medium (3-10in)
351828,3,Alive,Good,London planetree,Georgetown-Marine Park-Bergen Beach-Mill Basin,Medium (3-10in)
181663,19,Alive,Good,green ash,QN20,Very large (>24in)
31101,29,Alive,Good,London planetree,Grasmere-Arrochar-Ft. Wadsworth,
15359,5,Alive,Good,Callery pear,Pelham Bay-Country Club-City Island,Medium-Large (10-18in)
541555,21,Alive,Good,London planetree,Baisley Park,Very large (>24in)
396793,9,Alive,Good,littleleaf linden,Melrose South-Mott Haven North,Medium-Large (10-18in)
564003,8,Alive,Good,honeylocust,Richmond Hill,Medium-Large (10-18in)
226998,40,Alive,Good,London planetree,Woodlawn-Wakefield,
30733,13,Alive,Good,red maple,Grasmere-Arrochar-Ft. Wadsworth,Large (18-24in)
193079,22,Alive,Good,pin oak,17,Very large (>24in)
525709,9,Alive,Fair,Callery pear,Charleston-Richmond Valley-Tottenville,Medium-Large (10-18in)
466652,5,Alive,Good,Japanese zelkova,North Corona,Medium-Large (10-18in)
68075,30,Alive,Good,pin oak,St. Albans,
341642,21,Alive,Fair,London planetree,Canarsie,Very large (>24in)
101193,2,Alive,Good,dawn redwood,Bellerose,Medium (3-10in)
227682,2,Alive,Poor,cherry,Flatlands,Medium (3-10in)
483814,19,Alive,Good,London planetree,North Riverdale-Fieldston-Riverdale,Very large (>24in)
452589,29,Alive,Good,London planetree,New Dorp-Midland Beach,
11969,5,Alive,Good,Callery pear,Hammels-Arverne-Edgemere,Medium-Large (10-18in)
466011,4,Alive,Good,Sophora,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Medium-Large (10-18in)
594057,2,Alive,Good,hedge maple,Bellerose,Medium (3-10in)
228572,20,Alive,Fair,green ash,Bellerose,Very large (>24in)
638722,18,Alive,Good,Norway maple,QN07,Large (18-24in)
506828,4,Alive,Good,pin oak,Soundview-Castle Hill-Clason Point-Harding Park,Medium-Large (10-18in)
398850,0,Stump,,,Westchester-Unionport,Small (0-3in)
323196,6,Alive,Good,red maple,Westerleigh,Medium-Large (10-18in)
267042,28,Alive,Good,London planetree,Bensonhurst West,
654944,15,Alive,Good,white ash,Jamaica Estates-Holliswood,Large (18-24in)
159312,6,Alive,Good,white oak,Flatbush,Medium-Large (10-18in)
174821,13,Alive,Good,Callery pear,BX17,Large (18-24in)
547776,8,Alive,Good,pin oak,QN63,Medium-Large (10-18in)
193807,10,Alive,Good,London planetree,Oakland Gardens,Medium-Large (10-18in)
642511,4,Alive,Fair,purple-leaf plum,Crown Heights North,Medium-Large (10-18in)
499144,2,Alive,Good,pin oak,New Springville-Bloomfield-Travis,Medium (3-10in)
367895,8,Alive,Good,Callery pear,Rossville-Woodrow,Medium-Large (10-18in)
425982,20,Alive,Good,London planetree,Grymes Hill-Clifton-Fox Hills,Very large (>24in)
112232,15,Alive,Good,littleleaf linden,East Concourse-Concourse Village,Large (18-24in)
