Country,Life Expectancy,GDP
Afghanistan,58.19375,340.0154255
Albania,75.15625,2119.726679
Algeria,73.61875,2847.853392
Angola,49.01875,1975.143045
Antigua and Barbuda,75.05625,9759.305728
Argentina,75.15625,6998.575103
Armenia,73.4,1999.986318
Australia,81.8125,34637.56505
Austria,81.48125,33827.47631
Azerbaijan,70.73125,3302.947807
Bahrain,75.725,11191.24742
Bangladesh,69.3,443.561481
Barbados,74.35625,12017.09853
Belarus,69.90625,3811.525348
Belgium,80.68125,16915.306
Belize,69.26875,3933.012174
Benin,57.56875,561.167968
Bhutan,66.1625,1353.986946
Bosnia and Herzegovina,75.96875,2245.026024
Botswana,56.05,4498.285431
Brazil,73.38125,6143.161794
Brunei Darussalam,76.4875,19744.8081
Bulgaria,72.85,4938.981821
Burkina Faso,55.64375,410.3720343
Burundi,55.5375,137.8153213
Cabo Verde,72.51875,2023.541039
Cambodia,64.34375,466.196878
Cameroon,54.01875,781.0160044
Canada,81.6875,29382.90752
Central African Republic,48.5125,363.0559048
Chad,50.3875,484.7916941
Chile,79.45,6202.344364
China,74.2625,2345.303158
Colombia,73.2875,3321.660748
Comoros,61.58125,630.3843341
Costa Rica,78.59375,3957.227286
Croatia,76.11875,9056.784719
Cuba,77.975,3180.434884
Cyprus,79.675,13898.8855
Denmark,79.25625,33067.40792
Djibouti,60.75625,897.9998706
Dominican Republic,72.34375,3509.499186
Ecuador,74.725,2005.352468
El Salvador,71.74375,2517.83463
Equatorial Guinea,55.3125,7902.410789
Eritrea,59.525,259.3953563
Estonia,74.94375,8340.432949
Ethiopia,59.1125,264.97095
Fiji,68.7125,2947.612689
Finland,80.7125,25268.64976
France,82.21875,26465.55138
Gabon,62.24375,5179.256189
Georgia,73.50625,2158.280869
Germany,81.175,24337.7491
Ghana,60.8625,834.3761008
Greece,81.21875,16454.23587
Grenada,73.29375,6259.517261
Guatemala,71.73125,2365.834474
Guinea,56.0125,279.4647979
Guinea-Bissau,55.36875,384.2149305
Guyana,65.6375,1783.880937
Haiti,59.86875,434.3601282
Honduras,72.99375,1421.788083
Hungary,73.825,8513.641831
Iceland,82.44375,30159.50291
India,65.41875,837.9200509
Indonesia,67.55625,1669.116783
Iraq,70.26666667,3542.557537
Ireland,80.15,33835.27201
Israel,81.3,18860.47602
Italy,82.1875,21234.78237
Jamaica,74.29375,2509.54647
Japan,82.5375,24892.54478
Jordan,72.9875,1822.629926
Kazakhstan,66.7625,4040.586664
Kenya,57.48125,716.7700679
Kiribati,65.15,1175.292416
Kuwait,73.84375,31914.37834
Latvia,73.73125,7951.824897
Lebanon,74.2,4696.192379
Lesotho,48.78125,794.5230103
Liberia,57.525,246.281748
Libya,72.40833333,4598.161975
Lithuania,72.80625,9007.458623
Luxembourg,80.78125,53257.01274
Madagascar,62.74375,314.0413296
Malawi,49.89375,237.504042
Malaysia,73.75625,4904.938992
Maldives,75.5375,3818.296962
Mali,54.9375,530.5121701
Malta,80.3625,10114.79794
Mauritania,62.8,635.049609
Mauritius,72.7125,5299.579824
Mexico,75.71875,5179.330807
Mongolia,65.8875,1984.688023
Montenegro,74.5,4676.514277
Morocco,72.15625,1936.391438
Mozambique,53.39375,365.0682381
Myanmar,64.2,616.1843573
Namibia,60.4,3042.603507
Nepal,66.48125,395.3284679
Netherlands,81.13125,34964.7198
New Zealand,81.3375,14775.55481
Nicaragua,73.45,957.9039711
Niger,56.98125,259.782441
Nigeria,51.35625,1360.139877
Norway,81.79375,27434.94693
Oman,74.84375,7621.311127
Pakistan,64.5,666.1110516
Panama,76.4875,5417.76889
Papua New Guinea,61.6,758.0976163
Paraguay,73.1125,1983.404335
Peru,73.6625,2928.543542
Philippines,67.575,1397.136107
Poland,75.65,6792.5636
Portugal,79.99375,11598.62553
Qatar,77.03125,40748.4441
Romania,74.05,4258.940054
Russian Federation,67.7625,6545.137359
Rwanda,59.3125,300.0180171
Samoa,73.61875,2121.620649
Sao Tome and Principe,65.33333333,771.0348343
Saudi Arabia,73.46875,10689.05295
Senegal,62.56875,274.6111661
Serbia,73.95625,3674.542408
Seychelles,72.375,6496.302397
Sierra Leone,46.1125,271.5055613
Singapore,81.475,32790.10591
Slovenia,79.73125,11441.04438
Solomon Islands,67.7125,801.9123832
Somalia,54.5,297.4733451
South Africa,57.5,4869.427044
South Sudan,55.575,1092.233631
Spain,82.06875,17093.45974
Sri Lanka,73.4,1040.11019
Sudan,61.825,1192.797953
Suriname,70.08125,4781.216822
Swaziland,51.325,2165.090838
Sweden,82.51875,29334.99064
Switzerland,82.33125,57362.8746
Syrian Arab Republic,73.1625,1087.435774
Tajikistan,66.65625,335.8417252
Thailand,73.08125,3494.781702
Timor-Leste,64.75625,551.7106493
Togo,56.6625,317.2040921
Tonga,72.53125,1981.555186
Trinidad and Tobago,71.06875,7741.74809
Tunisia,74.35625,3044.081488
Turkey,73.9125,3983.917722
Turkmenistan,64.61875,2511.61154
Uganda,55.70625,421.0484963
Ukraine,69.9375,1577.293329
United Arab Emirates,75.7,22110.36699
Uruguay,76.075,7192.584875
Uzbekistan,68.03125,651.0923589
Vanuatu,71.3875,2000.245518
Zambia,53.90625,811.8118405
Zimbabwe,50.4875,410.9801938
