hotel,reservation_status,arrival date,arrival day of week,number of special requests
Resort Hotel,Check-Out,10/9/16,Sun,1
Resort Hotel,Canceled,6/15/17,Thu,2
City Hotel,Canceled,8/3/15,Mon,0
City Hotel,Check-Out,7/4/17,Tue,0
Resort Hotel,Check-Out,2/4/17,Sat,1
City Hotel,Canceled,6/8/17,Thu,0
City Hotel,Check-Out,1/18/16,Mon,0
City Hotel,Canceled,8/24/16,Wed,1
City Hotel,Canceled,10/22/16,Sat,1
City Hotel,Canceled,2/25/17,Sat,0
City Hotel,No-Show,3/23/17,Thu,0
City Hotel,Check-Out,8/13/15,Thu,0
Resort Hotel,Check-Out,6/27/16,Mon,0
Resort Hotel,Check-Out,8/2/15,Sun,0
City Hotel,Check-Out,8/19/17,Sat,1
Resort Hotel,Canceled,2/26/16,Fri,0
City Hotel,Canceled,12/27/15,Sun,0
Resort Hotel,Canceled,12/8/16,Thu,1
City Hotel,Canceled,7/20/17,Thu,1
City Hotel,Check-Out,10/21/16,Fri,2
City Hotel,Canceled,4/14/17,Fri,1
City Hotel,Canceled,11/27/16,Sun,0
Resort Hotel,Check-Out,8/20/17,Sun,0
City Hotel,Check-Out,4/21/17,Fri,0
City Hotel,Check-Out,3/19/16,Sat,0
Resort Hotel,Check-Out,4/22/16,Fri,0
Resort Hotel,Check-Out,2/14/17,Tue,1
City Hotel,Canceled,11/7/16,Mon,1
City Hotel,Check-Out,8/22/16,Mon,0
City Hotel,Canceled,10/28/16,Fri,1
City Hotel,,9/4/16,Sun,1
City Hotel,Canceled,2/23/17,Thu,0
City Hotel,Canceled,7/7/17,Fri,0
City Hotel,Check-Out,3/13/17,Mon,0
City Hotel,Canceled,10/15/15,Thu,0
Resort Hotel,,9/11/16,Sun,2
Resort Hotel,Check-Out,7/3/16,Sun,1
City Hotel,Check-Out,12/27/15,Sun,0
Resort Hotel,Canceled,6/27/16,Mon,1
City Hotel,Check-Out,9/4/15,Fri,0
City Hotel,,9/19/16,Mon,2
City Hotel,Canceled,3/15/16,Tue,0
Resort Hotel,Check-Out,12/5/15,Sat,0
Resort Hotel,Check-Out,2/18/17,Sat,2
City Hotel,Check-Out,6/17/16,Fri,0
City Hotel,Check-Out,12/13/16,Tue,1
Resort Hotel,Check-Out,10/23/16,Sun,2
City Hotel,,9/13/16,Tue,1
Resort Hotel,Check-Out,7/15/17,Sat,1
Resort Hotel,,9/10/16,Sat,2
City Hotel,Canceled,11/25/15,Wed,0
City Hotel,Canceled,2/26/16,Fri,0
City Hotel,Canceled,7/21/16,Thu,1
City Hotel,Check-Out,9/22/15,Tue,0
Resort Hotel,Check-Out,7/17/16,Sun,1
Resort Hotel,Check-Out,8/28/15,Fri,0
City Hotel,Canceled,5/15/17,Mon,0
Resort Hotel,,9/23/16,Fri,2
City Hotel,Check-Out,12/13/15,Sun,1
Resort Hotel,Check-Out,4/22/17,Sat,0
City Hotel,Canceled,6/17/16,Fri,1
City Hotel,Canceled,5/4/17,Thu,0
Resort Hotel,Check-Out,1/5/17,Thu,0
City Hotel,Canceled,5/1/17,Mon,0
City Hotel,Canceled,12/23/16,Fri,0
City Hotel,Check-Out,12/25/15,Fri,0
Resort Hotel,Check-Out,8/20/16,Sat,0
Resort Hotel,Canceled,12/31/15,Thu,0
City Hotel,Check-Out,3/24/17,Fri,0
City Hotel,Check-Out,6/15/17,Thu,1
City Hotel,Check-Out,7/27/17,Thu,1
Resort Hotel,Check-Out,7/17/17,Mon,0
Resort Hotel,Canceled,7/14/16,Thu,2
City Hotel,Check-Out,8/24/16,Wed,2
City Hotel,Check-Out,5/17/16,Tue,1
Resort Hotel,Check-Out,12/29/15,Tue,0
City Hotel,Canceled,4/6/17,Thu,1
City Hotel,Check-Out,10/31/15,Sat,0
Resort Hotel,Check-Out,2/12/16,Fri,1
City Hotel,Canceled,10/25/16,Tue,1
City Hotel,Canceled,2/23/17,Thu,0
City Hotel,Canceled,8/30/15,Sun,1
City Hotel,Canceled,10/12/16,Wed,1
Resort Hotel,Check-Out,3/11/16,Fri,1
City Hotel,Check-Out,6/15/16,Wed,1
Resort Hotel,Check-Out,7/30/15,Thu,0
City Hotel,Canceled,3/25/16,Fri,0
City Hotel,Check-Out,10/17/16,Mon,1
Resort Hotel,Canceled,5/8/16,Sun,2
Resort Hotel,Check-Out,7/9/17,Sun,0
Resort Hotel,Check-Out,11/26/15,Thu,0
Resort Hotel,Check-Out,5/8/17,Mon,0
City Hotel,Canceled,2/17/16,Wed,0
City Hotel,No-Show,3/15/17,Wed,0
City Hotel,,9/29/16,Thu,1
City Hotel,Check-Out,4/20/17,Thu,1
City Hotel,Canceled,6/13/17,Tue,1
Resort Hotel,Canceled,5/27/16,Fri,0
Resort Hotel,Check-Out,7/2/17,Sun,0
Resort Hotel,Canceled,6/7/17,Wed,2
City Hotel,Canceled,3/27/16,Sun,0
City Hotel,Check-Out,4/25/17,Tue,0
Resort Hotel,Canceled,7/28/17,Fri,1
City Hotel,Check-Out,3/31/16,Thu,0
Resort Hotel,Check-Out,5/6/16,Fri,1
City Hotel,Canceled,10/5/15,Mon,1
City Hotel,Canceled,5/28/16,Sat,0
City Hotel,Check-Out,7/19/17,Wed,0
City Hotel,Canceled,12/8/15,Tue,0
City Hotel,Check-Out,8/5/15,Wed,0
City Hotel,Canceled,9/30/15,Wed,0
City Hotel,Canceled,1/14/17,Sat,1
City Hotel,Check-Out,7/9/17,Sun,1
City Hotel,Canceled,3/16/17,Thu,1
City Hotel,Check-Out,1/4/17,Wed,1
Resort Hotel,Check-Out,10/7/16,Fri,1
City Hotel,Canceled,4/29/17,Sat,1
City Hotel,Check-Out,8/13/17,Sun,1
City Hotel,Canceled,6/30/17,Fri,0
City Hotel,Check-Out,5/2/17,Tue,0
Resort Hotel,Check-Out,5/16/16,Mon,0
City Hotel,Canceled,4/10/16,Sun,0
City Hotel,Canceled,9/18/15,Fri,0
Resort Hotel,Check-Out,1/23/16,Sat,2
Resort Hotel,Check-Out,3/9/16,Wed,0
Resort Hotel,Canceled,4/28/16,Thu,1
Resort Hotel,Canceled,5/14/17,Sun,1
City Hotel,Canceled,6/27/17,Tue,2
Resort Hotel,Check-Out,12/5/16,Mon,1
City Hotel,Check-Out,2/24/16,Wed,0
Resort Hotel,Check-Out,12/19/16,Mon,1
City Hotel,Canceled,6/14/16,Tue,0
Resort Hotel,Check-Out,12/7/16,Wed,4
City Hotel,Canceled,9/16/15,Wed,0
City Hotel,Canceled,10/5/15,Mon,0
Resort Hotel,Canceled,9/2/15,Wed,0
Resort Hotel,Check-Out,12/17/16,Sat,0
Resort Hotel,Check-Out,4/27/17,Thu,1
Resort Hotel,Check-Out,5/27/16,Fri,0
City Hotel,Canceled,11/17/15,Tue,0
City Hotel,Canceled,6/17/17,Sat,0
Resort Hotel,Canceled,2/23/17,Thu,1
City Hotel,Canceled,10/18/15,Sun,1
City Hotel,No-Show,3/12/16,Sat,0
City Hotel,Canceled,1/2/16,Sat,2
City Hotel,Check-Out,7/25/15,Sat,0
Resort Hotel,Canceled,2/27/16,Sat,0
Resort Hotel,Check-Out,4/13/17,Thu,2
Resort Hotel,Canceled,5/19/17,Fri,0
City Hotel,Canceled,6/8/16,Wed,2
Resort Hotel,Check-Out,8/30/15,Sun,4
City Hotel,Check-Out,7/23/16,Sat,1
City Hotel,Check-Out,3/22/16,Tue,1
City Hotel,Canceled,4/21/17,Fri,0
Resort Hotel,Check-Out,8/18/16,Thu,0
Resort Hotel,Check-Out,1/6/17,Fri,0
Resort Hotel,Check-Out,9/30/15,Wed,0
City Hotel,Canceled,9/9/15,Wed,2
City Hotel,Canceled,10/21/15,Wed,0
Resort Hotel,Check-Out,8/6/17,Sun,1
City Hotel,Canceled,3/16/16,Wed,0
City Hotel,Canceled,12/1/16,Thu,1
City Hotel,Check-Out,11/17/15,Tue,0
City Hotel,Check-Out,7/21/17,Fri,1
City Hotel,Canceled,6/12/16,Sun,0
City Hotel,Check-Out,8/27/17,Sun,1
City Hotel,Check-Out,4/6/17,Thu,0
City Hotel,Canceled,11/20/15,Fri,3
Resort Hotel,Check-Out,4/19/16,Tue,1
City Hotel,Check-Out,9/24/15,Thu,0
Resort Hotel,Canceled,12/30/15,Wed,1
City Hotel,Check-Out,3/30/17,Thu,0
City Hotel,Check-Out,10/14/16,Fri,3
Resort Hotel,Check-Out,6/1/17,Thu,2
Resort Hotel,Canceled,8/19/15,Wed,0
City Hotel,Check-Out,10/13/15,Tue,0
City Hotel,Check-Out,11/3/16,Thu,1
City Hotel,Canceled,8/25/16,Thu,0
City Hotel,Check-Out,8/20/17,Sun,1
City Hotel,Canceled,6/17/16,Fri,0
City Hotel,Canceled,8/31/16,Wed,1
Resort Hotel,Canceled,2/15/16,Mon,0
City Hotel,Check-Out,5/19/16,Thu,0
Resort Hotel,Check-Out,10/28/16,Fri,1
Resort Hotel,,9/2/16,Fri,0
City Hotel,Check-Out,6/23/16,Thu,2
City Hotel,Check-Out,11/21/16,Mon,0
City Hotel,Canceled,11/18/16,Fri,2
City Hotel,Check-Out,11/10/16,Thu,0
Resort Hotel,Check-Out,11/20/15,Fri,0
Resort Hotel,Check-Out,10/1/16,Sat,0
City Hotel,Canceled,4/13/17,Thu,0
Resort Hotel,Check-Out,10/22/15,Thu,0
Resort Hotel,Check-Out,5/28/17,Sun,0
City Hotel,Check-Out,4/9/16,Sat,0
City Hotel,Canceled,3/15/17,Wed,1
City Hotel,,9/27/16,Tue,0
Resort Hotel,Check-Out,11/13/15,Fri,0
City Hotel,Check-Out,2/20/16,Sat,0
Resort Hotel,Canceled,4/17/17,Mon,0
City Hotel,Check-Out,7/2/17,Sun,1
Resort Hotel,Check-Out,1/24/17,Tue,0
City Hotel,Check-Out,7/4/15,Sat,0
City Hotel,Check-Out,10/25/15,Sun,2
Resort Hotel,Check-Out,1/8/17,Sun,0
City Hotel,Canceled,5/24/16,Tue,0
Resort Hotel,Check-Out,1/18/17,Wed,0
City Hotel,Check-Out,10/8/16,Sat,2
Resort Hotel,Check-Out,10/18/16,Tue,0
City Hotel,Check-Out,1/5/16,Tue,1
Resort Hotel,Check-Out,2/21/17,Tue,2
