page_name,timestamp,user_id,utm_campaign,utm_source
1 - landing_page,2018-01-24 03:12,10006,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-24 04:04,10006,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-25 23:10,10006,weekly-newsletter,email
1 - landing_page,2018-01-25 20:32,10030,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-25 23:05,10030,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-28 13:26,10030,retargetting-campaign,email
4 - purchase,2018-01-28 13:38,10030,retargetting-campaign,email
1 - landing_page,2018-01-05 18:31,10045,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-05 21:16,10045,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-09 03:05,10045,retargetting-ad,facebook
1 - landing_page,2018-01-16 04:17,10048,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-16 07:28,10048,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-19 00:00,10048,retargetting-campaign,email
1 - landing_page,2018-01-02 23:14,10069,ten-crazy-cool-tshirts-facts,buzzfeed
2 - shopping_cart,2018-01-02 23:55,10069,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-01-04 08:12,10069,retargetting-ad,facebook
4 - purchase,2018-01-04 08:13,10069,retargetting-ad,facebook
1 - landing_page,2018-01-29 21:37,10162,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-29 22:11,10162,ten-crazy-cool-tshirts-facts,buzzfeed
3 - checkout,2018-02-01 04:15,10162,weekly-newsletter,email
4 - purchase,2018-02-01 04:26,10162,weekly-newsletter,email
1 - landing_page,2018-01-24 07:10,10177,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-24 11:58,10177,getting-to-know-cool-tshirts,nytimes
1 - landing_page,2018-01-23 22:27,10254,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-24 03:18,10254,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-25 09:12,10254,paid-search,google
1 - landing_page,2018-01-18 05:27,10329,interview-with-cool-tshirts-founder,medium
2 - shopping_cart,2018-01-18 07:15,10329,interview-with-cool-tshirts-founder,medium
3 - checkout,2018-01-22 16:31,10329,retargetting-campaign,email
4 - purchase,2018-01-22 16:35,10329,retargetting-campaign,email
1 - landing_page,2018-01-19 10:57,10354,getting-to-know-cool-tshirts,nytimes
2 - shopping_cart,2018-01-19 10:58,10354,getting-to-know-cool-tshirts,nytimes
3 - checkout,2018-01-22 01:55,10354,paid-search,google
4 - purchase,2018-01-22 02:00,10354,paid-search,google
1 - landing_page,2018-01-24 20:30,10400,ten-crazy-cool-tshirts-facts,buzzfeed
