,DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
80531,313 - CHEST PAIN,220108,MILTON HOSPITAL INC,199 REEDSDALE ROAD,MILTON,MA,2186,MA - Boston,43,6760.53,3547.0,2633.04
82205,313 - CHEST PAIN,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,36,19540.55,3428.58,2093.38
82206,313 - CHEST PAIN,10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,AL - Birmingham,13,20241.84,3849.76,1704.53
82207,313 - CHEST PAIN,10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,AL - Dothan,34,6417.2,2808.08,1872.38
82208,313 - CHEST PAIN,10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,AL - Birmingham,33,13311.78,2997.0,2113.84
82209,313 - CHEST PAIN,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,AL - Birmingham,74,21375.25,3339.94,2116.02
82210,313 - CHEST PAIN,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,AL - Birmingham,13,12569.92,3072.15,2293.38
82211,313 - CHEST PAIN,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,AL - Montgomery,116,12072.04,3781.33,2746.33
82212,313 - CHEST PAIN,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,AL - Montgomery,147,9999.98,3121.7,2213.9
82213,313 - CHEST PAIN,10025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,36854,AL - Birmingham,18,7274.72,3270.55,2458.33
82214,313 - CHEST PAIN,10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,AL - Birmingham,49,6660.36,3163.42,2064.63
82215,313 - CHEST PAIN,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,AL - Birmingham,106,15449.91,4235.13,3169.47
82216,313 - CHEST PAIN,10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,FL - Pensacola,22,9091.22,3088.0,2424.9
82217,313 - CHEST PAIN,10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,AL - Birmingham,54,20074.9,3489.4,1886.66
82218,313 - CHEST PAIN,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,AL - Huntsville,37,21093.72,3927.16,2612.94
82219,313 - CHEST PAIN,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,AL - Birmingham,31,39035.25,3091.25,1929.67
82220,313 - CHEST PAIN,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,AL - Birmingham,132,23769.85,3237.47,2020.91
82221,313 - CHEST PAIN,10047,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA,AL,36033,AL - Montgomery,12,4868.25,3200.0,2456.0
82222,313 - CHEST PAIN,10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,AL - Dothan,25,18100.56,2869.0,1884.36
82223,313 - CHEST PAIN,10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,AL - Birmingham,13,4308.61,3697.0,2923.15
82224,313 - CHEST PAIN,10054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,DECATUR,AL,35601,AL - Huntsville,30,23505.03,3350.4,2084.36
82225,313 - CHEST PAIN,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,AL - Dothan,14,17560.85,2890.14,1850.42
82226,313 - CHEST PAIN,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,AL - Birmingham,68,10957.75,2835.54,1959.83
82227,313 - CHEST PAIN,10065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,AL - Birmingham,20,6935.45,3160.0,2319.0
82228,313 - CHEST PAIN,10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,AL - Dothan,20,7216.7,3386.0,2543.4
82229,313 - CHEST PAIN,10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,AL - Birmingham,76,14627.35,2964.63,2063.32
82230,313 - CHEST PAIN,10079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,AL - Huntsville,13,7006.38,3292.07,2859.15
82231,313 - CHEST PAIN,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,AL - Mobile,28,24424.71,2854.0,2139.82
82232,313 - CHEST PAIN,10085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,DECATUR,AL,35609,AL - Huntsville,19,8700.78,3259.94,1990.68
82233,313 - CHEST PAIN,10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,AL - Birmingham,31,12268.8,2881.8,1900.0
82234,313 - CHEST PAIN,10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,AL - Birmingham,45,15938.66,3145.0,2219.93
