School ID,Name of School,Street Address,City,State,ZIP Code,Phone Number,Website,Blue Ribbon Award,CPS Performance Policy Level,CPS Performance Policy Status,Probation Length,"My Voice, My School Overall Rating",Student Response Rate,Teacher Response Rate,Involved Family,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safe,School Community,Parent-Teacher Partnership,Quality of Facilities,Healthy Schools Certification,Creative Schools Certification,NWEA Reading Growth Percentile All Grades,NWEA Reading Growth Percentile Grade 3,NWEA Reading Growth Percentile Grade 4,NWEA Reading Growth Percentile Grade 5,NWEA Reading Growth Percentile Grade 6,NWEA Reading Growth Percentile Grade 7,NWEA Reading Growth Percentile Grade 8,NWEA Math Growth Percentile All Grades,NWEA Math Growth Percentile Grade 3,NWEA Math Growth Percentile Grade 4,NWEA Math Growth Percentile Grade 5,NWEA Math Growth Percentile Grade 6,NWEA Math Growth Percentile Grade 7,NWEA Math Growth Percentile Grade 8,NWEA Reading Attainment Percentile All Grades,NWEA Reading Attainment Percentile Grade 2,NWEA Reading Attainment Percentile Grade 3,NWEA Reading Attainment Percentile Grade 4,NWEA Reading Attainment Percentile Grade 5,NWEA Reading Attainment Percentile Grade 6,NWEA Reading Attainment Percentile Grade 7,NWEA Reading Attainment Percentile Grade 8,NWEA Math Attainment Percentile All Grades,NWEA Math Attainment Percentile Grade 2,NWEA Math Attainment Percentile Grade 3,NWEA Math Attainment Percentile Grade 4,NWEA Math Attainment Percentile Grade 5,NWEA Math Attainment Percentile Grade 6,NWEA Math Attainment Percentile Grade 7,NWEA Math Attainment Percentile Grade 8,Suspensions Per 100 students 2013,Suspensions Per 100 students 2012,Percentage Misconducts Resulting in Suspension 2013,Percentage Misconducts Resulting in Suspension 2012,Average Length of Suspensions 2013,Average Length of Suspension 2012,Student Attendance Percentage 2013,Student Attendance Percentage 2012,Teacher Attendance Percentage 2013,Teacher Attendance Percentage 2012,Grade 3-8 On-Track Percentage 2013,One-Year Drop Out Rate Percentage 2013,One-Year Drop Out Rate Percentage 2012,X Coordinate,Y Coordinate,Longitude,Latitude,Location,Community Areas,Zip Codes,Boundaries - ZIP Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
400048,LEARN Charter ES - Excel,2401 W Congress Pkwy,Chicago,IL,60612,(312) 243-7001,http://www.learncharter.org,,LEVEL 2,NOT APPLICABLE,,PARTIALLY ORGANIZED,100,96,WEAK,WEAK,WEAK,NEUTRAL,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.7,95.6,,,,,,1160463.303,1897662.506,41.87488571,-87.68631142,"{'latitude': '-87.68631142', 'longitude': '41.87488571'}",,,,,,
609871,Barbara Vick Early Childhood & Family Center,2554 W 113th St,Chicago,IL,60655,(773) 535-2671,http://www.barbaravick.cps.k12.il.us,,,,,WELL-ORGANIZED,0,79,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,STRONG,NOT ENOUGH DATA,VERY STRONG,VERY STRONG,STRONG,NOT CERTIFIED,EMERGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9,86.9,94.8,95.6,,,,1161152.12,1829643.669,41.68821843,-87.6856634,"{'latitude': '-87.6856634', 'longitude': '41.68821843'}",,,,,,
610083,Daniel C Beard Elementary School,6445 W Strong St,Chicago,IL,60656,(773) 534-1228,http://www.cps.edu,,,,,ORGANIZED,0,84.6,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,EXCELLING,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,0.6,2.4,,,,,92.6,92.7,95.2,95.4,67.6,,,1132103.024,1932162.514,41.97009738,-87.78963691,"{'latitude': '-87.78963691', 'longitude': '41.97009738'}",,,,,,
610066,James E McDade Elementary Classical School,8801 S Indiana Ave,Chicago,IL,60619,(773) 535-3669,http://www.mcdadeclassicalschool.org/,,LEVEL 1,NOT ON PROBATION,,ORGANIZED,100,100,STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,STRONG,VERY STRONG,WEAK,NEUTRAL,NOT CERTIFIED,EXCELLING,99,99,99,99,95,,,99,99,99,91,65,,,99,99,99,99,99,99,,,99,99,99,99,99,99,,,,0.5,,,,,96.7,97.7,93.1,96.2,94.6,,,1179172.217,1846656.745,41.73451387,-87.61917677,"{'latitude': '-87.61917677', 'longitude': '41.73451387'}",,,,,,
400092,Chicago Intl Charter - Lloyd Bond,13300 S Langley Ave,Chicago,IL,60827,(773) 468-1300,http://www.chicagointl.org/,,LEVEL 3,NOT APPLICABLE,,PARTIALLY ORGANIZED,100,82.6,NEUTRAL,NEUTRAL,STRONG,WEAK,WEAK,WEAK,NEUTRAL,WEAK,WEAK,NOT CERTIFIED,EXCELLING,42,18,14,84,71,,,42,20,54,30,81,,,37,75,12,31,54,22,,,34,80,13,32,25,31,,,,,,,,,92.9,96.9,,,,,,1183271.54,1817218.32,41.6536366,-87.60507067,"{'latitude': '-87.60507067', 'longitude': '41.6536366'}",,,,,,
609789,John Barry Elementary School,2828 N Kilbourn Ave,Chicago,IL,60641,(773) 534-3455,http://www.barry.cps.k12.il.us,,LEVEL 2,NOT ON PROBATION,,WELL-ORGANIZED,91.7,90.7,STRONG,VERY STRONG,VERY STRONG,STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,NOT CERTIFIED,EXCELLING,0,3,5,7,26,,,94,35,95,67,96,,,12,23,14,10,14,11,,,53,54,33,57,51,69,,,3,2.1,55.6,94.4,1.3,1.4,95.2,95.3,95,95.9,78.6,,,1145852.597,1918556.652,41.93251118,-87.73942514,"{'latitude': '-87.73942514', 'longitude': '41.93251118'}",,,,,,
610180,John M Smyth Elementary School,1059 W 13th St,Chicago,IL,60608,(773) 534-7180,http://www.smyth.cps.k12.il.us,,LEVEL 3,ON PROBATION,7,PARTIALLY ORGANIZED,84.4,94.4,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,WEAK,WEAK,WEAK,WEAK,NEUTRAL,NOT CERTIFIED,EXCELLING,0,0,14,12,9,27,34,0,5,4,16,0,4,38,1,3,0,8,1,0,1,2,3,0,4,10,3,1,13,11,26,16.9,90.8,88.6,2,2.3,92.3,93.3,92.1,94,60.5,,,1169435.063,1894247.175,41.86532347,-87.65347031,"{'latitude': '-87.65347031', 'longitude': '41.86532347'}",,,,,,
609876,Nathan S Davis Elementary School,3014 W 39th Pl,Chicago,IL,60632,(773) 535-4540,http://www.cps.edu,,LEVEL 3,ON PROBATION,1,PARTIALLY ORGANIZED,57.7,57.1,NEUTRAL,WEAK,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,HEALTHY SCHOOLS CERTIFIED,DEVELOPING,24,3,42,30,35,57,75,35,4,79,47,30,12,86,18,9,4,31,15,13,36,47,19,34,5,38,16,12,29,38,2.4,1.6,28,20.8,3.7,2,94.7,95.1,94.4,95.2,70,,,1156815.412,1878318.629,41.8218786,-87.70022859,"{'latitude': '-87.70022859', 'longitude': '41.8218786'}",,,,,,
609829,John C Burroughs Elementary School,3542 S Washtenaw Ave,Chicago,IL,60632,(773) 535-7226,http://www.jcburroughs.cps.k12.il.us,,LEVEL 2,NOT ON PROBATION,,WELL-ORGANIZED,76.3,81.5,STRONG,STRONG,STRONG,STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,NEUTRAL,HEALTHY SCHOOLS CERTIFIED,DEVELOPING,89,79,52,85,47,88,96,99,99,84,98,39,95,99,68,82,70,70,69,63,59,60,86,79,91,88,89,84,69,80,0.6,2.2,,100,,2.3,94.5,96.1,94.4,96.3,66,,,1158904.877,1880879.379,41.8288631,-87.69249318,"{'latitude': '-87.69249318', 'longitude': '41.8288631'}",,,,,,
610153,William H Ryder Math & Science Specialty ES,8716 S Wallace St,Chicago,IL,60620,(773) 535-3843,http://www.cps.edu,,LEVEL 3,ON PROBATION,6,ORGANIZED,89.9,70.6,STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,WEAK,NOT CERTIFIED,INCOMPLETE DATA,0,0,,3,2,0,0,0,0,60,94,0,0,4,0,1,1,,6,0,0,0,2,0,1,36,83,0,0,0,29,6.3,91,54.5,2.1,2.4,91.3,94.2,93.7,93.5,62.7,,,1173792.13,1846923.856,41.73536767,-87.63887904,"{'latitude': '-87.63887904', 'longitude': '41.73536767'}",,,,,,
