movie,production_budget,domestic_gross,worldwide_gross,mpaa_rating,genre
Evan Almighty,175000000.0,100289690.0,174131329.0,PG,Comedy
Waterworld,175000000.0,88246220.0,264246220.0,PG-13,Action
King Arthur: Legend of the Sword,175000000.0,39175066.0,139950708.0,PG-13,Adventure
47 Ronin,175000000.0,38362475.0,151716815.0,PG-13,Action
Jurassic World: Fallen Kingdom,170000000.0,416769345.0,1304866322.0,PG-13,Action
Guardians of the Galaxy,170000000.0,333172112.0,771051335.0,PG-13,Action
Iron Man 2,170000000.0,312433331.0,621156389.0,PG-13,Action
Captain America: The Winter Soldier,170000000.0,259746958.0,714401889.0,PG-13,Action
Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,PG-13,Adventure
The Polar Express,170000000.0,186493587.0,310634169.0,G,Adventure
Snow White and the Huntsman,170000000.0,155136755.0,401021746.0,PG-13,Adventure
Terminator 3: Rise of the Machines,170000000.0,150358296.0,433058296.0,R,Action
Van Helsing,170000000.0,120150546.0,300150546.0,PG-13,Action
Tomorrowland,170000000.0,93436322.0,207283457.0,PG,Adventure
Alice Through the Looking Glass,170000000.0,77042381.0,276934087.0,PG,Adventure
Shrek Forever After,165000000.0,238736787.0,756244673.0,PG,Adventure
Doctor Strange,165000000.0,232641920.0,676486457.0,PG-13,Action
Big Hero 6,165000000.0,222527828.0,652127828.0,PG,Adventure
How to Train Your Dragon,165000000.0,217581232.0,494870992.0,PG,Adventure
Wreck-It Ralph,165000000.0,189412677.0,496511521.0,PG,Adventure
Interstellar,165000000.0,188017894.0,667752422.0,PG-13,Adventure
Independence Day: Resurgence,165000000.0,103144286.0,384413934.0,PG-13,Action
Cowboys and Aliens,163000000.0,100368560.0,176038324.0,PG-13,Action
Shrek the Third,160000000.0,322719944.0,807330936.0,PG,Adventure
Fast and Furious 6,160000000.0,238679850.0,789300444.0,PG-13,Action
X-Men: First Class,160000000.0,146408305.0,355408305.0,PG-13,Action
The Curious Case of Benjamin Button,160000000.0,127509326.0,329631958.0,PG-13,Drama
The Sorcerer's Apprentice,160000000.0,63150991.0,217986320.0,PG,Adventure
Poseidon,160000000.0,60674817.0,181674817.0,PG-13,Adventure
Warcraft,160000000.0,47225655.0,425547111.0,PG-13,Action
Aquaman,160000000.0,0.0,0.0,PG-13,Action
Deepwater Horizon,156000000.0,61433527.0,122631306.0,PG-13,Drama
Terminator: Genisys,155000000.0,89760956.0,432150894.0,PG-13,Action
Pacific Rim: Uprising,155000000.0,59185715.0,290241338.0,PG-13,Action
Alexander,155000000.0,34297191.0,167297191.0,R,Action
War for the Planet of the Apes,152000000.0,146880162.0,489592267.0,PG-13,Action
Pearl Harbor,151500000.0,198539855.0,449239855.0,PG-13,Action
Transformers,151000000.0,319246193.0,708272592.0,PG-13,Action
Wonder Woman,150000000.0,412563408.0,821133378.0,PG-13,Action
Zootopia,150000000.0,341268248.0,1019706594.0,PG,Adventure
Harry Potter and the Goblet of Fire,150000000.0,290013036.0,896911078.0,PG-13,Adventure
The Matrix Reloaded,150000000.0,281553689.0,738576929.0,R,Action
I am Legend,150000000.0,256393010.0,585532684.0,PG-13,Horror
Hancock,150000000.0,227946274.0,624234272.0,PG-13,Action
Charlie and the Chocolate Factory,150000000.0,206459076.0,475825484.0,PG,Adventure
Ratatouille,150000000.0,206445654.0,626549695.0,G,Adventure
Thor: The Dark World,150000000.0,206362140.0,644602516.0,PG-13,Action
Batman Begins,150000000.0,205343774.0,359142722.0,PG-13,Action
Mission: Impossible—Rogue Nation,150000000.0,195042377.0,689388363.0,PG-13,Action
Dunkirk,150000000.0,190068280.0,499900860.0,PG-13,Action
Thor,150000000.0,181030624.0,449326618.0,PG-13,Action
Madagascar: Escape 2 Africa,150000000.0,180174880.0,599680774.0,PG,Adventure
X-Men Origins: Wolverine,150000000.0,179883157.0,374825760.0,PG-13,Action
Kung Fu Panda 2,150000000.0,165249063.0,664837547.0,PG,Adventure
Mad Max: Fury Road,150000000.0,153636354.0,370651733.0,R,Action
The Meg,150000000.0,142700791.0,527100791.0,PG-13,Action
The Matrix Revolutions,150000000.0,139270910.0,427300260.0,R,Action
Ready Player One,150000000.0,137018455.0,578621729.0,PG-13,Adventure
Mission: Impossible III,150000000.0,133501348.0,397501348.0,PG-13,Action
Troy,150000000.0,133298577.0,484161265.0,R,Action
The Last Airbender,150000000.0,131772187.0,319713881.0,PG,Adventure
Bee Movie,150000000.0,126631277.0,287594577.0,PG,Adventure
G-Force,150000000.0,119436770.0,292817841.0,PG,Adventure
Bolt,150000000.0,114053579.0,328015029.0,PG,Adventure
Wrath of the Titans,150000000.0,83670083.0,305270083.0,PG-13,Adventure
Beowulf,150000000.0,82280579.0,195080579.0,PG-13,Adventure
The Wolfman,150000000.0,62189884.0,142634358.0,R,Horror
The Great Wall,150000000.0,45157105.0,334550106.0,PG-13,Action
Pan,150000000.0,35088320.0,151543635.0,PG,Adventure
Mars Needs Moms,150000000.0,21392758.0,39549758.0,PG,Adventure
Flushed Away,149000000.0,64665672.0,179357126.0,PG,Adventure
Madagascar 3: Europe's Most Wanted,145000000.0,216391482.0,746921271.0,PG,Adventure
How to Train Your Dragon 2,145000000.0,177002924.0,614586270.0,PG,Adventure
Tarzan,145000000.0,171091819.0,448191819.0,G,Adventure
Mr. Peabody & Sherman,145000000.0,111506430.0,269806430.0,PG,Adventure
Rise of the Guardians,145000000.0,103412758.0,306900902.0,PG,Adventure
Die Another Day,142000000.0,160942139.0,431942139.0,PG-13,Action
Star Trek,140000000.0,257730019.0,385680446.0,PG-13,Adventure
Armageddon,140000000.0,201578182.0,554600000.0,PG-13,Adventure
Men in Black 2,140000000.0,190418803.0,441767803.0,PG-13,Action
Captain America: The First Avenger,140000000.0,176654505.0,370569776.0,PG-13,Action
Kung Fu Panda 3,140000000.0,143528619.0,518418751.0,PG,Adventure
Lethal Weapon 4,140000000.0,130444603.0,285400000.0,R,Action
G.I. Joe: Retaliation,140000000.0,122523060.0,375740705.0,PG-13,Action
The Last Samurai,140000000.0,111110575.0,456810575.0,R,Action
Fun With Dick And Jane,140000000.0,110550000.0,203018919.0,PG-13,Comedy
Exodus: Gods and Kings,140000000.0,65014513.0,268314513.0,PG-13,Drama
The BFG,140000000.0,55483770.0,199676255.0,PG,Adventure
Gods of Egypt,140000000.0,31153464.0,138587563.0,PG-13,Adventure
Spider-Man,139000000.0,403706375.0,821706375.0,PG-13,Adventure
Watchmen,138000000.0,107509799.0,186976250.0,R,Action
Stealth,138000000.0,32116746.0,76416746.0,PG-13,Action
The Incredible Hulk,137500000.0,134806913.0,265573859.0,PG-13,Adventure
Hulk,137000000.0,132177234.0,245075434.0,PG-13,Action
Final Fantasy: The Spirits Within,137000000.0,32131830.0,85131830.0,PG-13,Adventure
The Croods,135000000.0,187168425.0,573068425.0,PG,Adventure
The Revenant,135000000.0,183637894.0,532950503.0,R,Adventure
The World is Not Enough,135000000.0,126930660.0,361730660.0,PG-13,Action
Rango,135000000.0,123477607.0,245724600.0,PG,Adventure
Turbo,135000000.0,83028130.0,286896578.0,PG,Adventure
Happy Feet Two,135000000.0,64006466.0,157956466.0,PG,Adventure
Miami Vice,135000000.0,63478838.0,163818556.0,R,Action
War of the Worlds,132000000.0,234280354.0,606836535.0,PG-13,Action
Penguins of Madagascar,132000000.0,83350911.0,367650911.0,PG,Adventure
The Hunger Games: Catching Fire,130000000.0,424668047.0,864868047.0,PG-13,Adventure
Ant-Man and the Wasp,130000000.0,216565229.0,617176819.0,PG-13,Action
Kung Fu Panda,130000000.0,215434591.0,631910531.0,PG,Adventure
Ant-Man,130000000.0,180202163.0,518860086.0,PG-13,Action
Home,130000000.0,177397510.0,386031994.0,PG,Adventure
Puss in Boots,130000000.0,149260504.0,554987477.0,PG,Adventure
Megamind,130000000.0,148415853.0,321887208.0,PG,Adventure
Bad Boys II,130000000.0,138540870.0,273271982.0,R,Action
Rio 2,130000000.0,131538435.0,492846291.0,G,Adventure
Noah,130000000.0,101200044.0,352831065.0,PG-13,Drama
The Adventures of Tintin,130000000.0,77591831.0,373993951.0,PG,Adventure
After Earth,130000000.0,60522097.0,251499665.0,PG-13,Action
Australia,130000000.0,49554002.0,215080810.0,PG-13,Drama
R.I.P.D.,130000000.0,33618855.0,79076678.0,PG-13,Action
Dinosaur,127500000.0,137748063.0,356148063.0,PG,Adventure
Logan,127000000.0,226277068.0,615476965.0,R,Action
X-Men 2,125000000.0,214949694.0,406875536.0,PG-13,Action
Fast Five,125000000.0,210031325.0,630163454.0,PG-13,Action
Sherlock Holmes: A Game of Shadows,125000000.0,186848418.0,535663443.0,PG-13,Action
The Day After Tomorrow,125000000.0,186740799.0,556319450.0,PG-13,Adventure
The Boss Baby,125000000.0,175003033.0,510888357.0,PG,Adventure
Clash of the Titans,125000000.0,163214888.0,493214888.0,PG-13,Action
Trolls,125000000.0,153707064.0,344527425.0,PG,Adventure
Godzilla,125000000.0,136314294.0,376000000.0,PG-13,Action
Prometheus,125000000.0,126477084.0,402448265.0,R,Adventure
Batman & Robin,125000000.0,107325195.0,238317814.0,PG-13,Action
Skyscraper,125000000.0,67796355.0,304034615.0,PG,Action
Assassin’s Creed,125000000.0,54647948.0,240497948.0,PG-13,Action
Monster Trucks,125000000.0,33370166.0,61642798.0,PG-13,Adventure
The 13th Warrior,125000000.0,32698899.0,61698899.0,R,Action
