Date,Month,Symbol,Open,High,Low,Close,Volume
1/4/21,Jan,BTCUSD,33617.30,33669.00,27632.34,31203.46,4603.92
1/5/21,Jan,BTCUSD,31203.46,34536.29,29914.50,34228.19,3056.56
1/6/21,Jan,BTCUSD,34228.19,37824.48,33685.82,37613.11,4925.00
1/7/21,Jan,BTCUSD,37613.11,40396.00,36129.05,38474.78,5743.52
1/8/21,Jan,BTCUSD,38474.78,41999.99,37574.79,40279.03,5661.85
1/9/21,Jan,BTCUSD,40279.03,41470.21,38768.82,40490.50,2678.95
1/10/21,Jan,BTCUSD,40490.50,41196.62,33100.00,35435.13,5913.67
1/11/21,Jan,BTCUSD,35435.13,36323.25,30250.00,35000.00,12556.01
1/12/21,Jan,BTCUSD,35000.00,36651.34,32178.29,33804.23,5245.77
1/13/21,Jan,BTCUSD,33804.23,38188.33,32800.00,37040.70,4049.91
1/14/21,Jan,BTCUSD,37040.70,40112.79,36751.40,38706.52,2686.51
1/15/21,Jan,BTCUSD,38706.52,38849.96,34353.63,36549.31,4503.99
1/16/21,Jan,BTCUSD,36549.31,37949.71,35400.01,36215.22,1855.53
1/17/21,Jan,BTCUSD,36215.22,36840.11,33868.96,35089.93,1759.94
1/18/21,Jan,BTCUSD,35089.93,37469.21,34778.00,36509.42,2083.84
1/19/21,Jan,BTCUSD,36509.42,37934.20,35005.00,35075.53,2726.29
1/20/21,Jan,BTCUSD,35075.53,35964.95,33400.00,34603.74,2900.01
1/21/21,Jan,BTCUSD,34603.74,35000.00,28800.00,30943.32,7290.52
1/22/21,Jan,BTCUSD,30943.32,33880.00,30473.87,32393.63,2869.23
1/23/21,Jan,BTCUSD,32393.63,33479.49,31444.00,32500.00,942.00
1/24/21,Jan,BTCUSD,32500.00,33672.18,30958.00,33585.44,1668.48
1/25/21,Jan,BTCUSD,33585.44,34885.56,31481.38,31557.64,2502.78
1/26/21,Jan,BTCUSD,31557.64,32951.00,30833.97,31852.60,2542.86
1/27/21,Jan,BTCUSD,31852.60,32059.73,29191.90,31514.54,5779.14
1/28/21,Jan,BTCUSD,31514.54,34671.77,30866.39,33864.01,4614.55
1/29/21,Jan,BTCUSD,33864.01,38665.71,31968.27,33289.13,7733.43
1/30/21,Jan,BTCUSD,33289.13,34805.65,33153.17,33949.79,1379.03
1/31/21,Jan,BTCUSD,33949.79,34205.00,32200.00,33608.78,1153.46
2/1/21,Feb,BTCUSD,33608.78,34700.00,33106.09,33589.89,2134.59
2/2/21,Feb,BTCUSD,33589.89,36545.05,33535.61,36467.28,2328.35
2/3/21,Feb,BTCUSD,36467.28,38375.00,35583.18,37551.56,2559.71
2/4/21,Feb,BTCUSD,37551.56,38785.99,36211.08,37380.18,2637.09
2/5/21,Feb,BTCUSD,37380.18,39700.00,37057.78,39415.76,2032.78
2/6/21,Feb,BTCUSD,39415.76,41000.00,38368.69,38897.95,2002.11
2/7/21,Feb,BTCUSD,38897.95,39748.96,37400.00,38107.34,1239.87
2/8/21,Feb,BTCUSD,38107.34,47519.31,38060.68,46653.50,5944.37
2/9/21,Feb,BTCUSD,46653.50,48201.23,45037.80,46309.88,2992.16
2/10/21,Feb,BTCUSD,46309.88,47367.17,43762.99,45513.94,2479.69
2/11/21,Feb,BTCUSD,45513.94,48975.00,44457.55,47624.29,2589.00
2/12/21,Feb,BTCUSD,47624.29,48246.60,46289.93,47938.87,2413.87
2/13/21,Feb,BTCUSD,47938.87,48027.30,46290.25,47381.80,1252.44
2/14/21,Feb,BTCUSD,47381.80,49700.00,45830.01,47185.29,2174.90
2/15/21,Feb,BTCUSD,47185.29,49600.00,46334.68,49587.20,1736.03
2/16/21,Feb,BTCUSD,49587.20,50602.34,47818.86,49649.93,2776.27
2/17/21,Feb,BTCUSD,49649.93,52668.45,49164.23,52068.01,2858.20
2/18/21,Feb,BTCUSD,52068.01,52344.00,50500.00,51241.23,2002.60
2/19/21,Feb,BTCUSD,51241.23,56605.60,50906.00,55761.10,3143.93
2/20/21,Feb,BTCUSD,55761.10,57500.00,54000.00,56541.20,1349.19
2/21/21,Feb,BTCUSD,56541.20,58481.60,55800.00,55914.43,1454.90
2/22/21,Feb,BTCUSD,55914.43,56651.47,47000.00,51847.25,5371.31
2/23/21,Feb,BTCUSD,51847.25,52294.87,44248.00,50965.74,6641.90
2/24/21,Feb,BTCUSD,50965.74,51442.01,48113.83,50266.89,2798.46
2/25/21,Feb,BTCUSD,50266.89,52074.00,46000.00,47360.43,3900.71
2/26/21,Feb,BTCUSD,47360.43,48472.08,44121.24,47440.00,3297.57
2/27/21,Feb,BTCUSD,47440.00,48380.14,44510.00,44673.36,1191.06
2/28/21,Feb,BTCUSD,44673.36,46920.00,43033.66,46408.05,2188.54
3/1/21,Mar,BTCUSD,46408.05,,45700.01,49023.76,3079.22
3/2/21,Mar,BTCUSD,49023.76,49757.22,47076.52,48749.78,1887.71
3/3/21,Mar,BTCUSD,48749.78,52737.20,48697.28,49597.23,2756.27
3/4/21,Mar,BTCUSD,49597.23,50754.39,46297.47,47339.92,2507.35
3/5/21,Mar,BTCUSD,47339.92,49455.61,46443.16,48648.76,1774.93
3/6/21,Mar,BTCUSD,48648.76,49915.73,47096.87,49610.32,1027.29
3/7/21,Mar,BTCUSD,49610.32,51832.15,49135.73,50591.21,1157.04
3/8/21,Mar,BTCUSD,50591.21,54126.00,49300.01,53931.34,1880.72
3/9/21,Mar,BTCUSD,53931.34,55847.68,53140.76,53466.19,1933.15
3/10/21,Mar,BTCUSD,53466.19,57400.00,53049.00,55971.68,2062.29
